bowler,format,innings_bowled,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate,five_wkts,four_wkts,best_wkts,best_bowling,matches
NE Bolton,ODI,2,30,36.0,2,16,0,0,5.0,7.2,18.0,53.33,15.0,0.0,0.0,2.0,2/18.0,38
ND Doshi,IPL,4,56,79.0,2,24,1,0,9.3,8.46,39.5,42.86,28.0,0.0,0.0,1.0,1/15.0,4
JL Denly,Test,10,390,219.0,2,268,0,0,65.0,3.37,109.5,68.72,195.0,0.0,0.0,2.0,2/42.0,15
SK Naidu,T20I,3,50,41.0,2,22,1,1,8.3,4.92,20.5,44.0,25.0,0.0,0.0,2.0,2/12.0,3
SJ Tsukigawa,ODI,1,48,20.0,2,34,0,0,8.0,2.5,10.0,70.83,24.0,0.0,0.0,2.0,2/20.0,1
F Sisifo,T20I,3,38,54.0,2,15,9,2,6.3,8.53,27.0,39.47,19.0,0.0,0.0,2.0,2/7.0,16
F Najjumba,T20I,3,66,49.0,2,31,0,0,11.0,4.45,24.5,46.97,33.0,0.0,0.0,1.0,1/13.0,10
SJ Elliott,Test,2,166,75.0,2,126,1,1,27.7,2.71,37.5,75.9,83.0,0.0,0.0,1.0,1/17.0,2
SJ Andrews,Test,2,291,87.0,2,248,0,0,48.5,1.79,43.5,85.22,145.5,0.0,0.0,2.0,2/54.0,2
Ajaz Patel,T20I,2,30,25.0,2,12,0,0,5.0,5.0,12.5,40.0,15.0,0.0,0.0,1.0,1/7.0,2
MR Corteen-Coleman,ODI,2,103,102.0,2,44,1,1,17.2,5.94,51.0,42.72,51.5,0.0,0.0,2.0,2/48.0,2
B Regmi,ODI,2,66,50.0,2,36,1,0,11.0,4.55,25.0,54.55,33.0,0.0,0.0,2.0,2/48.0,2
H Masakadza,T20I,8,60,97.0,2,21,2,0,10.0,9.7,48.5,35.0,30.0,0.0,0.0,1.0,1/3.0,54
RD Pangestuti,T20I,9,97,82.0,2,58,12,1,16.2,5.07,41.0,59.79,48.5,0.0,0.0,1.0,1/8.0,27
ND Bills,BBL,1,24,44.0,2,10,0,0,4.0,11.0,22.0,41.67,12.0,0.0,0.0,2.0,2/44.0,1
NA Sowter,CPL,1,24,37.0,2,10,0,0,4.0,9.25,18.5,41.67,12.0,0.0,0.0,2.0,2/37.0,1
SHT Kandamby,ODI,9,174,173.0,2,67,3,0,29.0,5.97,86.5,38.51,87.0,0.0,0.0,2.0,2/37.0,35
FDM Devonshire,T20I,2,30,31.0,2,13,1,0,5.0,6.2,15.5,43.33,15.0,0.0,0.0,1.0,1/11.0,3
FC Muniz,T20I,2,36,35.0,2,14,1,0,6.0,5.83,17.5,38.89,18.0,0.0,0.0,1.0,1/14.0,3
MR Swart,ODI,5,144,115.0,2,70,0,0,24.0,4.79,57.5,48.61,72.0,0.0,0.0,2.0,2/31.0,6
MR Montfort,T20I,1,18,25.0,2,8,3,0,3.0,8.33,12.5,44.44,9.0,0.0,0.0,2.0,2/22.0,1
FA Allen,IPL,4,90,136.0,2,26,1,0,15.0,9.07,68.0,28.89,45.0,0.0,0.0,1.0,1/21.0,5
F du Plessis,ODI,11,192,189.0,2,73,5,0,32.0,5.91,94.5,38.02,96.0,0.0,0.0,1.0,1/8.0,141
SH Lawlor,T20I,4,49,76.0,2,16,11,1,8.2,9.31,38.0,32.65,24.5,0.0,0.0,1.0,1/8.0,8
SH Johnson,ODI,4,182,187.0,2,97,6,2,30.3,6.16,93.5,53.3,91.0,0.0,0.0,2.0,2/42.0,4
FDM Karunaratne,Test,15,312,202.0,2,199,0,0,52.0,3.88,101.0,63.78,156.0,0.0,0.0,1.0,1/12.0,99
AC Dawson,ODI,6,240,207.0,2,110,5,0,40.0,5.18,103.5,45.83,120.0,0.0,0.0,1.0,1/42.0,6
JH Stander,T20I,4,38,85.0,2,10,3,2,6.3,13.42,42.5,26.32,19.0,0.0,0.0,2.0,2/18.0,5
JH Stander,ODI,2,72,79.0,2,37,1,0,12.0,6.58,39.5,51.39,36.0,0.0,0.0,2.0,2/56.0,2
MS Panesar,T20I,1,24,40.0,2,7,0,0,4.0,10.0,20.0,29.17,12.0,0.0,0.0,2.0,2/40.0,1
MS Gony,ODI,2,78,76.0,2,44,3,0,13.0,5.85,38.0,56.41,39.0,0.0,0.0,2.0,2/63.0,2
H Kaushik,T20I,7,102,122.0,2,31,1,0,17.0,7.18,61.0,30.39,51.0,0.0,0.0,1.0,1/15.0,14
H Pattenden,T20I,4,48,79.0,2,19,4,0,8.0,9.88,39.5,39.58,24.0,0.0,0.0,1.0,1/13.0,4
H Patel,T20I,4,61,78.0,2,23,1,2,10.2,7.67,39.0,37.7,30.5,0.0,0.0,2.0,2/23.0,10
H Patel,ODI,5,102,102.0,2,47,5,0,17.0,6.0,51.0,46.08,51.0,0.0,0.0,1.0,1/15.0,10
SE Aley,ODI,1,60,29.0,2,48,3,0,10.0,2.9,14.5,80.0,30.0,0.0,0.0,2.0,2/22.0,1
MT Diaby,T20I,2,15,17.0,2,8,1,0,2.5,6.8,8.5,53.33,7.5,0.0,0.0,2.0,2/5.0,5
JJ Athanaze,CPL,2,30,45.0,2,8,1,0,5.0,9.0,22.5,26.67,15.0,0.0,0.0,2.0,2/20.0,3
Fahad Alhashmi,ODI,3,104,105.0,2,52,12,0,17.3,6.06,52.5,50.0,52.0,0.0,0.0,2.0,2/33.0,3
SD Udal,Test,2,336,185.0,2,231,0,0,56.0,3.3,92.5,68.75,168.0,0.0,0.0,1.0,1/91.0,2
SD Parry,BBL,2,24,33.0,2,6,0,0,4.0,8.25,16.5,25.0,12.0,0.0,0.0,1.0,1/16.0,2
SD Chitnis,IPL,2,36,60.0,2,11,2,0,6.0,10.0,30.0,30.56,18.0,0.0,0.0,2.0,2/35.0,11
SC Meaker,ODI,2,114,110.0,2,65,3,0,19.0,5.79,55.0,57.02,57.0,0.0,0.0,1.0,1/45.0,2
SC Kuggeleijn,IPL,2,48,71.0,2,17,2,0,8.0,8.88,35.5,35.42,24.0,0.0,0.0,2.0,2/36.0,2
Farwa Baber,T20I,4,68,68.0,2,32,10,2,11.3,6.0,34.0,47.06,34.0,0.0,0.0,1.0,1/11.0,5
MW Machan,T20I,3,72,76.0,2,24,0,0,12.0,6.33,38.0,33.33,36.0,0.0,0.0,2.0,2/26.0,8
MW Edwards,BBL,3,54,84.0,2,19,2,0,9.0,9.33,42.0,35.19,27.0,0.0,0.0,1.0,1/18.0,3
RJ Gleeson,IPL,3,69,110.0,2,25,4,1,11.5,9.57,55.0,36.23,34.5,0.0,0.0,1.0,1/29.0,3
RG Sharma,Test,11,383,224.0,2,248,0,0,63.8,3.51,112.0,64.75,191.5,0.0,0.0,1.0,1/35.0,66
AC Septien,T20I,2,37,23.0,2,28,8,1,6.2,3.73,11.5,75.68,18.5,0.0,0.0,1.0,1/0.0,2
Maaz Sadaqat,PSL,3,36,38.0,2,14,2,0,6.0,6.33,19.0,38.89,18.0,0.0,0.0,2.0,2/11.0,16
Maaz Khan,PSL,3,42,76.0,2,12,1,0,7.0,10.86,38.0,28.57,21.0,0.0,0.0,2.0,2/31.0,3
SB Chamundaiah,T20I,2,45,49.0,2,16,5,3,7.5,6.53,24.5,35.56,22.5,0.0,0.0,2.0,2/12.0,2
SACA King,ODI,10,270,204.0,2,178,16,0,45.0,4.53,102.0,65.93,135.0,0.0,0.0,2.0,2/6.0,10
SA Yadav,T20I,1,6,5.0,2,3,0,0,1.0,5.0,2.5,50.0,3.0,0.0,0.0,2.0,2/5.0,108
Ahmer Bin Nisar,T20I,5,30,48.0,2,7,2,0,5.0,9.6,24.0,23.33,15.0,0.0,0.0,1.0,1/6.0,93
Ahmed Shehzad,ODI,9,116,140.0,2,34,0,1,19.3,7.24,70.0,29.31,58.0,0.0,0.0,1.0,1/22.0,80
Madeeha Zuberi,T20I,5,69,55.0,2,33,6,0,11.5,4.78,27.5,47.83,34.5,0.0,0.0,1.0,1/12.0,7
JEC Franklin,BBL,1,18,22.0,2,5,3,0,3.0,7.33,11.0,27.78,9.0,0.0,0.0,2.0,2/19.0,1
Maira Khan,T20I,5,90,183.0,2,24,29,6,15.0,12.2,91.5,26.67,45.0,0.0,0.0,2.0,2/37.0,5
H Durham,ODI,1,58,47.0,2,35,4,0,9.7,4.86,23.5,60.34,29.0,0.0,0.0,2.0,2/42.0,1
RJ Pierre,T20I,6,72,114.0,2,24,4,0,12.0,9.5,57.0,33.33,36.0,0.0,0.0,2.0,2/12.0,8
J Erdenesuvd,T20I,5,105,130.0,2,31,5,3,17.5,7.43,65.0,29.52,52.5,0.0,0.0,1.0,1/12.0,7
Fawad Ali,PSL,5,74,108.0,2,24,4,2,12.3,8.76,54.0,32.43,37.0,0.0,0.0,1.0,1/19.0,5
Fawad Alam,Test,3,96,54.0,2,58,0,0,16.0,3.38,27.0,60.42,48.0,0.0,0.0,2.0,2/46.0,19
Fawad Ahmed,ODI,2,84,106.0,2,27,0,0,14.0,7.57,53.0,32.14,42.0,0.0,0.0,1.0,1/51.0,2
C Agafili,T20I,3,43,34.0,2,29,3,1,7.2,4.74,17.0,67.44,21.5,0.0,0.0,1.0,1/4.0,9
AD Janakanthymala,ODI,2,67,47.0,2,38,0,1,11.2,4.21,23.5,56.72,33.5,0.0,0.0,1.0,1/19.0,2
AC Voges,T20I,1,12,5.0,2,7,0,0,2.0,2.5,2.5,58.33,6.0,0.0,0.0,2.0,2/5.0,7
S Waqabaca,T20I,2,24,26.0,2,13,3,0,4.0,6.5,13.0,54.17,12.0,0.0,0.0,2.0,2/18.0,4
S Vithayathil,T20I,1,18,8.0,2,13,0,0,3.0,2.67,4.0,72.22,9.0,0.0,0.0,2.0,2/8.0,2
S Vesawkar,ODI,1,36,21.0,2,22,0,0,6.0,3.5,10.5,61.11,18.0,0.0,0.0,2.0,2/21.0,3
S Thanikaithasan,T20I,6,67,81.0,2,27,0,0,11.2,7.25,40.5,40.3,33.5,0.0,0.0,1.0,1/1.0,32
S Tarawally,T20I,6,114,118.0,2,56,5,0,19.0,6.21,59.0,49.12,57.0,0.0,0.0,1.0,1/18.0,6
S Sunday,T20I,2,18,12.0,2,9,0,0,3.0,4.0,6.0,50.0,9.0,0.0,0.0,1.0,1/1.0,47
Franz Bur,T20I,2,18,25.0,2,4,1,0,3.0,8.33,12.5,22.22,9.0,0.0,0.0,2.0,2/15.0,3
S Simpson,T20I,1,24,29.0,2,10,1,0,4.0,7.25,14.5,41.67,12.0,0.0,0.0,2.0,2/28.0,1
S Simic,T20I,4,54,46.0,2,24,11,5,9.0,5.11,23.0,44.44,27.0,0.0,0.0,1.0,1/10.0,4
J Intan,T20I,4,50,57.0,2,21,6,2,8.3,6.84,28.5,42.0,25.0,0.0,0.0,2.0,2/23.0,35
RK Whelan,ODI,2,90,99.0,2,50,5,0,15.0,6.6,49.5,55.56,45.0,0.0,0.0,1.0,1/41.0,2
H Karunaratne,ODI,6,97,102.0,2,38,4,1,16.2,6.31,51.0,39.18,48.5,0.0,0.0,1.0,1/19.0,21
H Kala,Test,1,90,48.0,2,54,0,0,15.0,3.2,24.0,60.0,45.0,0.0,0.0,2.0,2/48.0,1
S Samuels,T20I,9,131,153.0,2,73,16,4,21.8,7.01,76.5,55.73,65.5,0.0,0.0,1.0,1/6.0,10
S Saeed,T20I,3,42,53.0,2,20,0,0,7.0,7.57,26.5,47.62,21.0,0.0,0.0,2.0,2/24.0,3
G Chilia,T20I,4,25,26.0,2,16,4,0,4.2,6.24,13.0,64.0,12.5,0.0,0.0,2.0,2/1.0,21
Md Shafiqul Haque,T20I,1,18,25.0,2,5,0,0,3.0,8.33,12.5,27.78,9.0,0.0,0.0,2.0,2/25.0,4
Mayank Dagar,IPL,8,137,203.0,2,44,1,0,22.8,8.89,101.5,32.12,68.5,0.0,0.0,1.0,1/23.0,8
G Burrows,T20I,2,18,23.0,2,7,0,0,3.0,7.67,11.5,38.89,9.0,0.0,0.0,1.0,1/9.0,16
G Bruno,T20I,1,24,40.0,2,10,3,0,4.0,10.0,20.0,41.67,12.0,0.0,0.0,2.0,2/35.0,2
Ahmadschah Ahmadzai,T20I,1,12,24.0,2,4,0,0,2.0,12.0,12.0,33.33,6.0,0.0,0.0,2.0,2/24.0,1
Ahmad Raza,T20I,5,79,101.0,2,32,5,1,13.2,7.67,50.5,40.51,39.5,0.0,0.0,1.0,1/27.0,5
Meghna Singh,Test,1,127,66.0,2,94,1,1,21.2,3.12,33.0,74.02,63.5,0.0,0.0,2.0,2/65.0,1
JE Scott,T20I,3,54,57.0,2,31,2,0,9.0,6.33,28.5,57.41,27.0,0.0,0.0,2.0,2/23.0,4
Abdullah Sheikh,T20I,4,74,79.0,2,29,2,2,12.3,6.41,39.5,39.19,37.0,0.0,0.0,1.0,1/19.0,5
Abdullah Mohd Yousaf,T20I,5,64,95.0,2,16,7,1,10.7,8.91,47.5,25.0,32.0,0.0,0.0,1.0,1/1.0,5
Abdul Samad,IPL,7,57,125.0,2,12,1,0,9.5,13.16,62.5,21.05,28.5,0.0,0.0,1.0,1/9.0,71
Mobashar Ashraf,T20I,2,24,24.0,2,13,0,0,4.0,6.0,12.0,54.17,12.0,0.0,0.0,2.0,2/17.0,2
Mehrab Hossain jnr,Test,5,293,208.0,2,172,0,0,48.8,4.26,104.0,58.7,146.5,0.0,0.0,2.0,2/29.0,5
JD Ryder,T20I,5,60,68.0,2,22,0,0,10.0,6.8,34.0,36.67,30.0,0.0,0.0,1.0,1/2.0,22
Mohamed Coulibaly,T20I,4,43,73.0,2,18,8,2,7.2,10.19,36.5,41.86,21.5,0.0,0.0,1.0,1/11.0,9
S Nunna,T20I,6,84,104.0,2,23,8,0,14.0,7.43,52.0,27.38,42.0,0.0,0.0,1.0,1/18.0,7
S Naidu,T20I,6,98,110.0,2,44,2,2,16.3,6.73,55.0,44.9,49.0,0.0,0.0,1.0,1/8.0,6
B Unenchtseceg,T20I,3,58,61.0,2,19,7,2,9.7,6.31,30.5,32.76,29.0,0.0,0.0,1.0,1/9.0,5
S Mostary,T20I,6,46,72.0,2,9,2,0,7.7,9.39,36.0,19.57,23.0,0.0,0.0,1.0,1/12.0,66
S Mostary,ODI,13,128,138.0,2,55,1,1,21.3,6.47,69.0,42.97,64.0,0.0,0.0,1.0,1/12.0,31
S Malwatta,T20I,2,15,17.0,2,9,2,0,2.5,6.8,8.5,60.0,7.5,0.0,0.0,1.0,1/4.0,12
B Yadav,T20I,8,55,89.0,2,21,6,0,9.2,9.71,44.5,38.18,27.5,0.0,0.0,1.0,1/1.0,19
AF Mapu,T20I,11,118,114.0,2,72,20,4,19.7,5.8,57.0,61.02,59.0,0.0,0.0,1.0,1/7.0,12
S Lundell,T20I,2,26,27.0,2,13,2,2,4.3,6.23,13.5,50.0,13.0,0.0,0.0,1.0,1/3.0,8
S Lateh,T20I,3,49,65.0,2,25,5,1,8.2,7.96,32.5,51.02,24.5,0.0,0.0,1.0,1/18.0,13
JC Tongue,ODI,2,90,93.0,2,53,3,0,15.0,6.2,46.5,58.89,45.0,0.0,0.0,2.0,2/44.0,2
JC Cullen,T20I,4,37,51.0,2,11,7,1,6.2,8.27,25.5,29.73,18.5,0.0,0.0,2.0,2/21.0,16
JC Carmichael,CPL,7,87,141.0,2,36,2,2,14.5,9.72,70.5,41.38,43.5,0.0,0.0,1.0,1/22.0,8
Mohammad Hafeez,IPL,4,61,68.0,2,25,2,1,10.2,6.69,34.0,40.98,30.5,0.0,0.0,1.0,1/8.0,8
H Dhami,T20I,2,30,40.0,2,15,0,0,5.0,8.0,20.0,50.0,15.0,0.0,0.0,2.0,2/20.0,2
H Deol,ODI,6,91,81.0,2,41,3,1,15.2,5.34,40.5,45.05,45.5,0.0,0.0,1.0,1/7.0,38
H Carlyon,ODI,4,180,141.0,2,103,3,0,30.0,4.7,70.5,57.22,90.0,0.0,0.0,2.0,2/37.0,4
RL Haynes,ODI,2,24,34.0,2,9,0,0,4.0,8.5,17.0,37.5,12.0,0.0,0.0,2.0,2/12.0,49
Afzaal Haider,ODI,2,78,123.0,2,30,3,0,13.0,9.46,61.5,38.46,39.0,0.0,0.0,1.0,1/48.0,2
S Lackay,T20I,1,24,59.0,2,4,0,0,4.0,14.75,29.5,16.67,12.0,0.0,0.0,2.0,2/59.0,4
S Khadka,T20I,6,48,38.0,2,32,4,0,8.0,4.75,19.0,66.67,24.0,0.0,0.0,2.0,2/3.0,9
JA Turner,ODI,2,66,68.0,2,42,4,0,11.0,6.18,34.0,63.64,33.0,0.0,0.0,2.0,2/41.0,2
S Kakai,T20I,1,18,10.0,2,13,1,0,3.0,3.33,5.0,72.22,9.0,0.0,0.0,2.0,2/9.0,5
Abul Hasan,T20I,2,36,60.0,2,15,0,0,6.0,10.0,30.0,41.67,18.0,0.0,0.0,2.0,2/33.0,2
RM Hill,T20I,1,12,9.0,2,5,1,0,2.0,4.5,4.5,41.67,6.0,0.0,0.0,2.0,2/8.0,1
BADL Faunce,T20I,3,43,50.0,2,20,2,0,7.2,6.98,25.0,46.51,21.5,0.0,0.0,2.0,2/28.0,4
N Ndouteng,T20I,1,24,58.0,2,5,0,0,4.0,14.5,29.0,20.83,12.0,0.0,0.0,2.0,2/58.0,2
N Simelane,T20I,3,40,50.0,2,18,8,4,6.7,7.5,25.0,45.0,20.0,0.0,0.0,1.0,1/11.0,3
S Hussein,T20I,3,68,66.0,2,40,6,1,11.3,5.82,33.0,58.82,34.0,0.0,0.0,1.0,1/4.0,3
Adnan Gondal,T20I,1,12,5.0,2,8,0,0,2.0,2.5,2.5,66.67,6.0,0.0,0.0,2.0,2/5.0,2
JA Rudolph,Test,8,270,188.0,2,164,1,0,45.0,4.18,94.0,60.74,135.0,0.0,0.0,1.0,1/1.0,32
GA West,BBL,3,42,85.0,2,15,5,0,7.0,12.14,42.5,35.71,21.0,0.0,0.0,2.0,2/22.0,3
Mohammed Qasim,ODI,2,78,43.0,2,48,0,0,13.0,3.31,21.5,61.54,39.0,0.0,0.0,1.0,1/13.0,4
Mohammed Jamadar,T20I,5,96,90.0,2,44,5,0,16.0,5.62,45.0,45.83,48.0,0.0,0.0,1.0,1/15.0,5
Mohammed Faraazuddin,T20I,5,84,125.0,2,17,0,0,14.0,8.93,62.5,20.24,42.0,0.0,0.0,1.0,1/15.0,6
Mohammed Awais,T20I,5,79,132.0,2,34,7,1,13.2,10.03,66.0,43.04,39.5,0.0,0.0,1.0,1/22.0,5
Mohammad Zahid,Test,1,153,108.0,2,104,0,3,25.5,4.24,54.0,67.97,76.5,0.0,0.0,2.0,2/108.0,1
S Devata,T20I,1,8,9.0,2,3,4,2,1.3,6.75,4.5,37.5,4.0,0.0,0.0,2.0,2/5.0,1
GD Phillips,CPL,3,24,27.0,2,13,0,0,4.0,6.75,13.5,54.17,12.0,0.0,0.0,1.0,1/5.0,53
BAC Howell,CPL,4,67,101.0,2,18,1,1,11.2,9.04,50.5,26.87,33.5,0.0,0.0,2.0,2/30.0,4
BA Langston,ODI,3,138,57.0,2,104,0,0,23.0,2.48,28.5,75.36,69.0,0.0,0.0,1.0,1/23.0,3
GD Drummond,ODI,4,156,129.0,2,93,3,1,26.0,4.96,64.5,59.62,78.0,0.0,0.0,1.0,1/29.0,5
J Little,CPL,3,55,118.0,2,11,2,1,9.2,12.87,59.0,20.0,27.5,0.0,0.0,2.0,2/40.0,3
Gurdeep Singh,T20I,3,36,57.0,2,13,0,0,6.0,9.5,28.5,36.11,18.0,0.0,0.0,2.0,2/16.0,10
S Cholasseri,T20I,3,66,90.0,2,29,7,2,11.0,8.18,45.0,43.94,33.0,0.0,0.0,1.0,1/21.0,4
Momina Riasat,T20I,3,66,73.0,2,27,0,0,11.0,6.64,36.5,40.91,33.0,0.0,0.0,2.0,2/18.0,3
S Campbell,Test,1,108,66.0,2,78,1,0,18.0,3.67,33.0,72.22,54.0,0.0,0.0,2.0,2/65.0,1
J Ulrik,T20I,1,24,14.0,2,15,2,0,4.0,3.5,7.0,62.5,12.0,0.0,0.0,2.0,2/12.0,1
J Tugsjargal,T20I,5,46,59.0,2,17,2,4,7.7,7.7,29.5,36.96,23.0,0.0,0.0,1.0,1/12.0,10
GD Pope,CPL,3,36,32.0,2,16,0,0,6.0,5.33,16.0,44.44,18.0,0.0,0.0,1.0,1/8.0,3
GD Phillips,IPL,4,30,40.0,2,10,1,0,5.0,8.0,20.0,33.33,15.0,0.0,0.0,1.0,1/10.0,14
S Arachchige,T20I,2,24,26.0,2,9,0,0,4.0,6.5,13.0,37.5,12.0,0.0,0.0,2.0,2/15.0,5
Rupesh Singh,T20I,3,60,96.0,2,22,5,0,10.0,9.6,48.0,36.67,30.0,0.0,0.0,1.0,1/30.0,4
Rumaisa Jawad Nasir,T20I,2,36,56.0,2,9,2,0,6.0,9.33,28.0,25.0,18.0,0.0,0.0,1.0,1/26.0,4
Roshni Sebastian,T20I,3,48,48.0,2,19,2,0,8.0,6.0,24.0,39.58,24.0,0.0,0.0,1.0,1/13.0,3
JA Clarkson,CPL,2,21,46.0,2,5,1,0,3.5,13.14,23.0,23.81,10.5,0.0,0.0,2.0,2/18.0,5
N M'shangwe,ODI,4,216,163.0,2,119,3,0,36.0,4.53,81.5,55.09,108.0,0.0,0.0,1.0,1/31.0,4
N Dutta,ODI,5,234,176.0,2,114,2,0,39.0,4.51,88.0,48.72,117.0,0.0,0.0,1.0,1/33.0,6
N Dutta,CPL,3,66,90.0,2,24,5,0,11.0,8.18,45.0,36.36,33.0,0.0,0.0,2.0,2/28.0,3
GH Worker,CPL,3,38,58.0,2,16,0,0,6.3,9.16,29.0,42.11,19.0,0.0,0.0,2.0,2/16.0,7
GH Lewis,T20I,5,68,86.0,2,23,4,2,11.3,7.59,43.0,33.82,34.0,0.0,0.0,2.0,2/19.0,112
Robiul Islam,ODI,3,133,117.0,2,75,7,0,22.2,5.28,58.5,56.39,66.5,0.0,0.0,1.0,1/20.0,3
J Prodehl,T20I,1,24,10.0,2,19,0,0,4.0,2.5,5.0,79.17,12.0,0.0,0.0,2.0,2/10.0,1
J Patraj,ODI,2,90,76.0,2,43,2,0,15.0,5.07,38.0,47.78,45.0,0.0,0.0,1.0,1/26.0,2
Muhammad Rohid,ODI,3,180,150.0,2,103,2,0,30.0,5.0,75.0,57.22,90.0,0.0,0.0,1.0,1/35.0,3
Muhammad Musa,ODI,2,97,101.0,2,53,2,0,16.2,6.25,50.5,54.64,48.5,0.0,0.0,2.0,2/21.0,2
AJ McKay,T20I,2,35,31.0,2,18,0,1,5.8,5.31,15.5,51.43,17.5,0.0,0.0,2.0,2/20.0,2
AJ Kenealy,T20I,11,163,198.0,2,70,7,1,27.2,7.29,99.0,42.94,81.5,0.0,0.0,1.0,1/19.0,11
Basir Ahamad,T20I,1,24,30.0,2,10,0,0,4.0,7.5,15.0,41.67,12.0,0.0,0.0,2.0,2/30.0,7
Basir Ahamad,ODI,5,141,100.0,2,80,0,0,23.5,4.26,50.0,56.74,70.5,0.0,0.0,1.0,1/18.0,6
Rithika Sriram,T20I,3,67,72.0,2,23,16,1,11.2,6.45,36.0,34.33,33.5,0.0,0.0,1.0,1/10.0,5
Muhammad Tahir,T20I,2,17,21.0,2,7,1,0,2.8,7.41,10.5,41.18,8.5,0.0,0.0,2.0,2/8.0,2
J Little,PSL,3,60,104.0,2,22,2,0,10.0,10.4,52.0,36.67,30.0,0.0,0.0,1.0,1/37.0,3
N Deonarine,CPL,3,54,72.0,2,20,1,0,9.0,8.0,36.0,37.04,27.0,0.0,0.0,1.0,1/20.0,7
RR Sarwan,T20I,1,12,10.0,2,7,0,0,2.0,5.0,5.0,58.33,6.0,0.0,0.0,2.0,2/10.0,18
RR Rossouw,PSL,3,16,17.0,2,7,0,0,2.7,6.38,8.5,43.75,8.0,0.0,0.0,1.0,1/3.0,104
RR Patel,ODI,3,84,69.0,2,40,0,0,14.0,4.93,34.5,47.62,42.0,0.0,0.0,1.0,1/14.0,11
RR Joshi,ODI,1,60,77.0,2,21,3,0,10.0,7.7,38.5,35.0,30.0,0.0,0.0,2.0,2/74.0,1
Ghulam Fatima,T20I,5,99,108.0,2,39,3,1,16.5,6.55,54.0,39.39,49.5,0.0,0.0,1.0,1/26.0,5
J Ramanandi,ODI,6,270,209.0,2,125,3,0,45.0,4.64,104.5,46.3,135.0,0.0,0.0,1.0,1/26.0,8
Raza-ur-Rehman,T20I,3,54,58.0,2,21,0,0,9.0,6.44,29.0,38.89,27.0,0.0,0.0,2.0,2/16.0,5
Raza Hasan,ODI,1,60,68.0,2,33,2,0,10.0,6.8,34.0,55.0,30.0,0.0,0.0,2.0,2/66.0,1
Ravinderpal Singh,T20I,3,25,29.0,2,12,1,0,4.2,6.96,14.5,48.0,12.5,0.0,0.0,2.0,2/9.0,40
GI Hume,Test,3,300,209.0,2,205,0,0,50.0,4.18,104.5,68.33,150.0,0.0,0.0,1.0,1/85.0,3
AK Ahir,T20I,1,12,16.0,2,5,3,0,2.0,8.0,8.0,41.67,6.0,0.0,0.0,2.0,2/13.0,3
AJ Tye,PSL,4,90,160.0,2,24,2,0,15.0,10.67,80.0,26.67,45.0,0.0,0.0,1.0,1/32.0,4
AJ Turner,ODI,2,84,60.0,2,54,2,0,14.0,4.29,30.0,64.29,42.0,0.0,0.0,1.0,1/22.0,6
AJ Redmond,Test,4,93,72.0,2,60,0,3,15.5,4.65,36.0,64.52,46.5,0.0,0.0,2.0,2/47.0,7
AJ Redmond,T20I,1,17,24.0,2,4,1,0,2.8,8.47,12.0,23.53,8.5,0.0,0.0,2.0,2/23.0,7
J Mulder,ODI,1,60,28.0,2,39,2,0,10.0,2.8,14.0,65.0,30.0,0.0,0.0,2.0,2/26.0,1
Gaba Frank,T20I,2,12,22.0,2,3,0,0,2.0,11.0,11.0,25.0,6.0,0.0,0.0,2.0,2/3.0,2
AK Kitchen,T20I,3,36,46.0,2,17,1,0,6.0,7.67,23.0,47.22,18.0,0.0,0.0,1.0,1/3.0,5
J Louw,T20I,2,43,54.0,2,17,4,1,7.2,7.53,27.0,39.53,21.5,0.0,0.0,2.0,2/34.0,2
Mushtaq Ahmed,Test,2,307,199.0,2,205,0,1,51.2,3.89,99.5,66.78,153.5,0.0,0.0,1.0,1/98.0,2
GK Davis,ODI,1,23,19.0,2,14,1,0,3.8,4.96,9.5,60.87,11.5,0.0,0.0,2.0,2/18.0,1
GJP Kruger,ODI,3,142,139.0,2,82,8,4,23.7,5.87,69.5,57.75,71.0,0.0,0.0,1.0,1/41.0,3
GJ van Rensburg,T20I,5,42,55.0,2,13,2,0,7.0,7.86,27.5,30.95,21.0,0.0,0.0,1.0,1/11.0,6
Raja Farzan,PSL,2,36,35.0,2,20,2,0,6.0,5.83,17.5,55.56,18.0,0.0,0.0,2.0,2/18.0,2
Rafiulah Alokozai,T20I,5,74,116.0,2,32,12,2,12.3,9.41,58.0,43.24,37.0,0.0,0.0,1.0,1/11.0,5
Rabia Sahan,T20I,2,25,23.0,2,13,8,1,4.2,5.52,11.5,52.0,12.5,0.0,0.0,2.0,2/8.0,4
RW Staple,ODI,1,60,76.0,2,23,1,0,10.0,7.6,38.0,38.33,30.0,0.0,0.0,2.0,2/73.0,2
RV Viraj,T20I,3,30,64.0,2,7,1,0,5.0,12.8,32.0,23.33,15.0,0.0,0.0,2.0,2/32.0,4
RTM Mendis,T20I,3,42,48.0,2,14,4,0,7.0,6.86,24.0,33.33,21.0,0.0,0.0,1.0,1/12.0,2
RT Lyons,T20I,1,24,26.0,2,8,0,0,4.0,6.5,13.0,33.33,12.0,0.0,0.0,2.0,2/26.0,1
Muzahir Raza,ODI,4,96,45.0,2,75,4,0,16.0,2.81,22.5,78.12,48.0,0.0,0.0,1.0,1/11.0,4
